surgeon	Surgeons are the ones who operate	Surgeons are medical specialists	Surgeons work in the operating rooms	Surgeons have a good salary
surgeon	Surgeons are precise.	Surgeons have studied.	Surgeons work in hopsitals.	Surgeons work under sterile conditions.
surgeon	surgeons are a physicians who performs surgical operations.	surgeons work in hospitals.	surgeons work also in podiatry.	surgeons work also in dentistry and the veterinary fields.
surgeon	a surgeon is a specialist doctor	a surgeon works with his hands	a surgeon is able to prevent and cure diseases	To be a surgeon you need a specialization
surgeon	Surgeons perform complex operations	Surgeons treat people	Surgeons work in clinics	Brave surgeons
surgeon	surgeons save people's lives	the surgeons are real heroes	surgeons work many hours a day	surgeons must always be available
moth	moths are ugly	no body likes moths	moths are not good	moths are not helpful
moth	Moths can fly	Moths are not that beautiful	Moths looks like butterflies	Is it a butterfly or a moth?
moth	moths have beautiful wings	moths appear from the caterpillars	moths feed on nectar	moths have a varied color of wings to protect
moth	insects that proliferate in some foods	insects of the order of the Lepidoptera, that is, they are butterflies	They are perhaps the most popular group of insects due to the beauty of their shapes and colors	They are distributed worldwide, they feed on the by-products of animals such as skins
moth	moths are insects that proliferate food	The moth is a problem that causes serious damage to wooden furniture and clothing	the moth designates various insects	moths are insects that eat wood
moth	Moths are insects.	Moths are grey.	Moths have wings.	Moths eat clothes.
engineer	the engineers work hard	the engineers work in factories	the engineers carry out field work	men and women can be engineers
engineer	Engineers develop new technologies	Engineers are scientifically trained	Engineers work in a variety of different roles	Engineers are professionals
engineer	engineers are mostly men	I am an engineer	engineers are building bridges	engineers are a good specialty
engineer	Engineers are smart	Engineers are professionals	Engineers are workers	Engineers are builder
engineer	Engineers build houses	Engineers solve problems	Engineers are strong	Engineers have existing minds
engineer	engineers are designing buildings	engineers build bridges	engineers create cars	engineers are building channels
ant	las hormigas son muy pequeñas	the ants are red	the ants are black	the ants are very strong
ant	Ants live anywhere	Ants are very organized life	Ants looking for sugar	Ants search for their food anywhere
ant	Ants are small insects.	Ants have elbowed antennae.	Ants form colonies.	Ants can be found almost everywhere.
ant	ants have 6 legs	ants have 2 antennas	ants are insects	ants are small animals
ant	ants are very small	ants build anthills	ants are very hardworking	ants live in the forest and in the fields
ant	the ants are insects	the ants are black	the ants evolve from ancestors	the ants form colonies and anthills
mechanic	Mechanics is a very strong job	mechanics is an excellent career	the mechanics is fundamental when having a vehicle	mechanics requires a lot of patience
mechanic	Mechanics are expensive	Mechanics are sometimes late	Mechanics works most around holidays	Mechanics must try cars before returning them to owners
mechanic	the mechanics is universal	mechanics is an art	the mechanics creates impressive machines	the mechanics carries many calculations
mechanic	Mechanics are the engineers .	Mechanics builds cars.	Mechanics repair various machines .	Mechanics are  very useful professions for our society.
mechanic	Mechanics is the study of forces.	Mechanics can be automechanics.	Mechanics uses tools to build or repair machinery.	Mechanics are most often men's.
mechanic	a mechanic is a person who is repairing a car	the mechanic knows the structure of the car	the mechanic has a lot of tools	mechanic working with machines in the workshop
owl	Owls appear at night	Owls have big eyes	Owls love trees.	Owls are proud.
owl	Owls have big eyes	Owls sleep for the day	Owls are birds with feathers	Owls perch on tree branches
owl	owls hunt at night.	owls eat mouse.	owls hear the sounds well.	owls live in tree.
owl	Owls are birds	Owls wake up at night	Owls have wings	Owls have a peak
owl	owls  wake up at night	owls are cute	owls are quiet	owl have round faces
owl	Owls are night birds	Owls have big eyes	Owls are a symbol of wisdom	Owls sleep at the day
worm	worms are not helpful	worms are ugly	worms mean unhealty	worms can be may organic
worm	earth worms live deep in the ground	birds like to eat worms	worms are crawling insects	early birds get the worms
worm	Worms are blind	Worms are slimy	Worms eat dirt	Worms are good for gardens
worm	Worms are long.	Worms creep out after rain.	Worms live underground.	Worms are rain and annulate.
worm	worms are generally pink colour.	worms have long cylindrical body.	worms dont have limbs.	worms look soft.
worm	worms are scary animals	worms are slippery animals	worms live in the land	worms are small animals
elephant	Elephants have long tusks.	Elephants live in Africa.	Elephants are friendly.	Elephants love to eat plants.
elephant	elephants have tusks	у слонов есть большие уши	elephants are big animals	elephants live in afrika
elephant	Elephants are mammals	Elephants have tusks and fangs	Elephants live in Asia and Africa	Elephants usually have gray color
elephant	Elephants are mammals.	Elephants have four legs.	Elephants drink with the trunk.	Elephants eat grass.
elephant	Elephants live in Asia.	Elephants have big tusks.	Elephants are the largest land mammals.	Elephants have long trunks.
elephant	Elephants are large mammals	Elephants color is grey	Elephants perform in circus	Elephants form deep family bonds
nurse	Nurses work in hospitals	Nurses are often female	nurses do social work	nurses have an important job
nurse	Nurses work mainly in hospitals	Nurses show empathy	Nurses predominantly wear uniforms	Nurses are medically trained
nurse	Nurses work in hospitals	Nurses are compassionate	Nurses are often female.	Nurses wear white.
nurse	Nurses are charismatic	Nurses are good person	Nurses are professionals	Nurses wear white
